	Jerusalem	Haifa	Jaffa	Acre	Nazareth	Nahariya	Tiberias	Afula	Netanya	Herzliya	Ramla	Jericho	Ramallah	Bethany	Bethlehem	Hebron	Nablus	Qalqilya	Jenin	Tulkarem
Jerusalem	0,-	118.86,-	54.88,65.99	129.36,-	104.34,-	138.4,-	117.72,-	95.09,-	72.29,-	59.35,-	38.84,51.69	24.96,36.82	20.52,32.35	5.5,13	6.97,8.62	28.94,35.03	29.32,-	80.32,-	77,-	62.58,-
Haifa	118.86,-	0,-	83.3,-	15.01,27.29	31.24,41.64	24.15,-	50.46,-	37.11,48.23	54.98,66.37	73.94,-	99.65,-	97.55,-	87,-	116.96,-	125.22,-	143.95,-	92.57,-	69.39,-	49.08,62.59	56.52,97.23
Jaffa	54.88,65.99	83.3,-	0,-	97.16,121.43	83.54,-	106.25,-	105.08,-	76.91,-	28.32,-	9.37,10.33	19.26,24.07	18.54,-	48.85,-	58.12,-	57.69,-	68.05,-	48.62,-	22.22,30.88	64.48,-	34.58,40.49
Acre	129.36,-	15.01,27.29	97.16,121.43	0,-	31.33,38.28	9.2,11.74	43.73,-	39.78,54.54	68.97,-	87.85,-	112.87,-	110.64,-	101.67,-	127.91,-	136.29,-	155.45,-	102.33,-	82.31,-	55.82,74.11	68.97,90.4
Nazareth	104.34,-	31.24,41.64	83.54,-	31.33,38.28	0,-	38.49,48.04	24.07,29.66	9.46,12.74	58.11,-	74.73,-	95.46,-	92.84,-	83.70,-	99.99,-	110.71,-	131.49,-	74.94,-	64.11,-	26.4,-	50.38,-
Nahariya	138.4,-	24.15,-	106.25,-	9.2,11.74	38.49,48.04	0,-	46.77,67.21	47.45,-	77.96,-	96.87,-	122.03,-	119.81,-	119.54,-	136.07,-	145.38,-	164.7,-	111.31,-	91.52,-	63.98,-	78.11,99.61
Tiberias	117.72,-	50.46,-	105.08,-	43.73,-	24.07,29.66	46.77,67.21	0,-	28.3,37.52	81.18,-	96.69,-	115,-	104.32,117.98	97.04,-	112.54,-	124.5,-	146.22,-	88.24,-	84.51,-	42.67,-	71.34,-
Afula	95.09,-	37.11,48.23	76.91,-	39.78,54.54	9.46,12.74	47.45,-	28.3,37.52	0,-	53.02,67.56	68.42,-	87.71,-	85.03,-	73.46,-	89.97,-	100.6,-	121.36,-	64.84,-	54.74,-	16.63,19.02	41.23,60.86
Netanya	72.29,-	54.98,66.37	28.32,-	68.97,-	58.11,-	77.96,-	81.18,-	53.02,67.56	0,-	18.96,22.87	45.41,-	43.63,-	57.98,-	72.33,-	76.78,-	91.97,-	52.9,-	18.79,-	42.91,-	15.94,22.6
Herzliya	59.35,-	73.94,-	9.37,10.33	87.85,-	74.73,-	96.87,-	96.69,-	68.42,-	18.96,22.87	0,-	27.26,-	25.9,-	48.81,71.83	60.52,-	62.33,-	75.17,-	46.83,-	14.4,-	55.22,-	24.92,30.7
Ramla	38.84,51.69 	99.65,-	19.26,24.07	112.87,-	95.46,-	122.03,-	115,-	87.71,-	45.41,-	27.26,-	0,-	2.87,6.22	38.59,63.59	43.46,-	40.43,-	49.83,78.51	41.32,-	31.24,46.85	71.83,-	45.12,58.71
Jericho	24.96,36.82	 97.55,-	18.54,-	110.64,-	92.84,-	119.81,-	104.32,117.98	85.03,-	 43.63,-	25.9,-	2.87,6.22	0,-	32.76,40.45	16.34,23.79	29.27,-	50.06,-	24.81,35.03	59.24,-	69.08,112.69	64.97,-
Ramallah	20.52,32.35	87,-	48.85,-	101.67,-	83.70,-	119.54,-	97.04,-	73.46,-	57.98,-	48.81,71.83	38.59,63.59	32.76,40.45	0,-	16.53,31.66	27.46,-	49.35,-	18.84,15.29	39.41,70.31	57.3,-	114.2,-
Bethany	5.5,13	116.96,-	58.12,-	127.91,-	99.99,-	136.07,-	112.54,-	89.97,-	72.33,-	60.52,-	43.46,-	16.34,23.79	16.53,31.66	0,-	13.71,23.91	35.74,-	25.09,-	53.53,-	73.6,-	62.37,-
Bethlehem	6.97,8.62	125.22,-	57.69,-	136.29,-	110.71,-	145.38,-	124.5,-	100.6,-	76.78,-	62.33,-	40.43,-	29.27,-	27.46,-	13.71,23.91	0,-	22.25,28.81	36.27,-	58.36,-	52.43,-	69.19,-
Hebron	28.94,35.03	143.95,-	68.05,-	155.45,-	131.49,-	164.7,-	146.22,-	121.36,-	91.97,-	75.17,-	49.83,78.51	50.06,-	49.35,-	35.74,-	22.25,28.81	0,-	85.05,-	74.73,-	105.35,-	87.07,-
Nablus	65.32,-	92.57,-	48.62,-	102.33,-	74.94,-	111.31,-	88.24,-	64.84,-	52.9,-	46.83,-	41.32,-	24.81,35.03	8.84,15.29	25.09,-	36.27,-	85.05,-	0,-	35.05,61.36	48.53,72.92	40.17,-
Qalqilya	80.32,-	69.39,-	22.22,30.88	82.31,-	64.11,-	91.52,-	84.51,-	54.74,-	18.79,-	14.4,-	31.24,-	59.24,-	39.41,70.31	53.53,-	58.36,-	74.73,-	35.05,61.36	0,-	42.48,68.92	13.89,15.52
Jenin	77,-	49.08,62.59	64.48,-	55.82,74.11	26.4,-	63.98,-	42.67,-	16.63,19.02	42.91,-	55.22,-	71.83,-	69.08,112.69	57.3,-	73.6,-	52.43,-	105.35,-	48.53,72.92	42.48,68.92	0,-	30.39,42.13
Tulkarem	62.58,-	56.52,97.23	34.58,40.49	68.97,90.4	50.38,-	78.11,99.61	71.34,-	41.23,60.86	15.94,22.6	24.92,30.7	45.12,58.71	64.97,-	114.2,-	62.37,-	69.19,-	87.07,-	40.17,-	13.89,15.52	30.39,42.13	0,-
